Name,Address,Specialties,,,,,
,,,,,,,
Cleveland Clinic Florida,9500 W Colonial Dr, Ocoee, FL 34761,Cardiology, Neurology, Oncology,
Johns Hopkins Hospital,1800 Orleans St, Baltimore, MD 21287,Cardiology, Neurology, Oncology, Pediatrics
Massachusetts General Hospital,55 Fruit St, Boston, MA 02114,Cardiology, Surgery, Psychiatry,
Mount Sinai Beth Israel,10 Nathan D Perlman Pl, New York, NY 10003,Cardiology, Gastroenterology, Orthopedics,
UCLA Medical Center,757 Westwood Plaza, Los Angeles, CA 90095,Cardiology, Neurology, Trauma Surgery,
Cleveland Clinic Abu Dhabi,Al Maryah Island, Abu Dhabi, United Arab Emirates,Cardiology, Oncology, Neurology,
Children's Hospital of Philadelphia,3401 Civic Center Blvd, Philadelphia, PA 19104,Pediatrics, Cardiology, Neurosurgery,
Kaiser Permanente Los Angeles Medical Center,4867 Sunset Blvd, Los Angeles, CA 90027,Family Medicine, Pediatrics, Emergency Care,
NYU Langone Health,550 First Avenue, New York, NY 10016,Orthopedics, Cardiology, Gastroenterology,
Northwestern Memorial Hospital,251 E Huron St, Chicago, IL 60611,Cardiology, Oncology, Neurosurgery,
Cleveland Clinic Canada,10 Kings College Rd, Toronto, ON M5S 1A1,Canada,Cardiology, Orthopedics, Rehabilitation
Houston Methodist Hospital,6565 Fannin St, Houston, TX 77030,Cardiology, Neurology, Orthopedics,
Baylor St. Luke’s Medical Center,6720 Bertner Ave, Houston, TX 77030,Cardiology, Cancer Care, Women’s Health,
Johns Hopkins Bayview Medical Center,4940 Eastern Ave, Baltimore, MD 21224,Pediatrics, Rehabilitation, Surgery,
Emory University Hospital,1364 Clifton Rd NE, Atlanta, GA 30322,Cancer Care, Neurology, Orthopedics,
Vanderbilt University Medical Center,1211 Medical Center Dr, Nashville, TN 37232,Cardiology, Transplant Surgery, Neurology,
Cedar-Sinai Medical Center,8700 Beverly Blvd, Los Angeles, CA 90048,Cardiology, Neurosurgery, Gastroenterology,
University of Chicago Medical Center,5758 S Maryland Ave, Chicago, IL 60637,Oncology, Pediatrics, General Surgery,
NYU Langone Health - Tisch Hospital,550 First Avenue, New York, NY 10016,Trauma Surgery, Neurology, Cardiology,
Maimonides Medical Center,4802 10th Ave, Brooklyn, NY 11219,Cardiology, Pediatrics, Gastroenterology,
Geisinger Medical Center,100 N Academy Ave, Danville, PA 17822,Cardiology, Trauma Surgery, Cancer Care,
Mayo Clinic Health System - Franciscan Healthcare,700 W Campus Dr, La Crosse, WI 54601,Family Medicine, Cardiology, Neurology,
Cleveland Clinic Avon Hospital,33300 Cleveland Clinic Blvd, Avon, OH 44011,Emergency Medicine, Surgery, Maternity Care,
Cleveland Clinic Euclid Hospital,18901 Lakeshore Blvd, Euclid, OH 44119,Emergency Medicine, Rehabilitation, Cardiovascular Care,
Beverly Hospital,309 Beverly Hospital, Beverly, MA 01915,General Surgery, Emergency Medicine, Orthopedics,
St. Joseph's Hospital and Medical Center,350 W Thomas Rd, Phoenix, AZ 85013,Trauma Surgery, Cardiology, Neurology,
Cleveland Clinic Fairview Hospital,18101 Lorain Ave, Cleveland, OH 44111,Emergency Medicine, Surgery, Orthopedics,
Ochsner Medical Center,1514 Jefferson Hwy, New Orleans, LA 70121,Oncology, Cardiology, Transplant Surgery,
Piedmont Atlanta Hospital,1968 Peachtree Rd NW, Atlanta, GA 30309,Cardiology, Orthopedics, Gastroenterology,
Kaiser Permanente San Diego Medical Offices,4647 Zion Ave, San Diego, CA 92120,Family Medicine, Pediatrics, Urgent Care,
The Johns Hopkins Hospital - Bayview Medical Center,4940 Eastern Ave, Baltimore, MD 21224,Pediatrics, Rehabilitation, General Surgery,
University of Michigan Hospitals and Health Centers,1500 E Medical Center Dr, Ann Arbor, MI 48109,Emergency Medicine, Surgery, Pediatrics,
Cleveland Clinic - Akron General,1 Akron General Ave, Akron, OH 44307,General Surgery, Orthopedics, Emergency Medicine,
Rochester General Hospital,1425 Portland Ave, Rochester, NY 14621,Cardiology, Oncology, Rehabilitation,
Johns Hopkins All Children’s Hospital,501 6th Ave S, St. Petersburg, FL 33701,Pediatrics, Cardiology, Neurosurgery,
Scripps Memorial Hospital,9880 Genesee Ave, La Jolla, CA 92037,Oncology, Emergency Medicine, Internal Medicine,
Berkshire Medical Center,725 North Street, Pittsfield, MA 01201,Cardiology, Surgery, Psychiatry,
Intermountain Medical Center,5121 S Cottonwood St, Murray, UT 84157,Cardiology, Cancer Care, Family Medicine,
Brigham and Women's Hospital,75 Francis St, Boston, MA 02115,Cardiology, Oncology, Neurology,
Northwell Health - North Shore University Hospital,300 Community Dr, Manhasset, NY 11030,Cardiology, General Surgery, Pediatric Care,
Barnes-Jewish Hospital,1 Barnes-Jewish Hospital Plaza, St. Louis, MO 63110,Cardiology, Surgery, Trauma Surgery,
Mayo Clinic Health System - La Crosse,700 W Campus Dr, La Crosse, WI 54601,Family Medicine, Orthopedics, Cancer Care,
Parkland Health and Hospital System,5200 Harry Hines Blvd, Dallas, TX 75235,Emergency Medicine, Surgery, Pediatrics,
Pioneer Valley Hospital,360 Wright St, Bountiful, UT 84010,Cardiology, General Surgery, Obstetrics,
Oklahoma University Medical Center,1200 N Lee Ave, Oklahoma City, OK 73103,Trauma Surgery, Pediatrics, Neurology,
MetroHealth Medical Center,2500 MetroHealth Dr, Cleveland, OH 44109,Cardiology, Emergency Medicine, Surgery,
Long Beach Memorial Medical Center,2801 Atlantic Ave, Long Beach, CA 90806,Cardiology, Oncology, Pediatrics,
Froedtert & the Medical College of Wisconsin,9200 W Wisconsin Ave, Milwaukee, WI 53226,Cardiology, Surgery, Cancer Care,
Franciscan Health - Crown Point,1201 S Main St, Crown Point, IN 46307,General Surgery, Orthopedics, Emergency Medicine,
Rochester General Hospital,1425 Portland Ave, Rochester, NY 14621,Cardiology, Oncology, Rehabilitation,
Florida Hospital Orlando,601 E Rollins St, Orlando, FL 32803,Oncology, Cardiology, Internal Medicine,
University of Iowa Hospitals and Clinics,200 Hawkins Dr, Iowa City, IA 52242,Emergency Medicine, Surgery, Pediatrics,
